Reference,Qty,Exclude from BOM,Exclude from Board,DKPN
SW1,30,,Excluded from board,R4ABLKBLKFF0-ND
C13,30,,,P16846-ND
Y1,30,,,MXO45HST-3C-1M000000
Q1,30,,,FQA8N100CFS-ND
R4,30,,,BC1.00KXCT-ND
R5,30,,,A142822CT-ND
"J1,J2",60,,,732-10956-ND
R2,30,,,56-MBA02040C6802FRP00CT-ND
R1,30,,,56-MBA02040C1802FRP00CT-ND
R3,30,,,56-MBA02040C1508FC100CT-ND
D2,30,,,5272-DB105-ND
U4,30,,,497-1452-5-ND
U5,30,,,497-1443-5-ND
C10,30,,,495-3207-ND
C12,30,,,493-12789-1-ND
C14,30,,,493-7077-ND
D3,30,,,4878-1N5408CT-ND
C9,30,,,399-R82DC3330SH60JCT-ND
"C1,C2,C3,C4,C5,C6,C7,C8",250,,,399-4264-ND
TR1,30,,,3388-BV301S18028-ND
U1,30,,,296-NE555P-ND
U2,30,,,296-13689-5-ND
F1,30,,,283-4690-1-ND
D1,30,,,1N4148FSCT-ND
TVS1,30,,,13-SA15CA/BCT-ND
